obs_id,site_code,obs_year,obs_value,arable_prop,area,clay1_mean,forest_prop,grassland_prop,k1_mean,limestone_prop,livestock_density,other_prop,precip_mean,rock1_mean,sand1_mean,silt1_mean,slope_mean,soc1_mean,stream_density,twi_mean,urban_prop,water_prop,wetland_prop
1,SJA0088000,2016,1.138,0.122,704297025.0,21.031,0.706,0.035,59.083,0.003,0.08,0.025,830.366,4.072,65.292,13.677,0.875,8.971,0.001,9.851,0.012,0.004,0.084
2,SJA0088000,2017,1.175,0.122,704297025.0,21.031,0.706,0.035,59.083,0.003,0.08,0.025,895.066,4.072,65.292,13.677,0.875,8.971,0.001,9.851,0.012,0.004,0.084
3,SJA0106000,2016,5.967,0.428,26553800.0,25.857,0.491,0.025,16.544,1.0,0.057,0.016,784.874,5.801,55.326,18.817,0.813,8.528,0.0,10.252,0.018,0.0,0.021
4,SJA0106000,2017,4.175,0.428,26553800.0,25.857,0.491,0.025,16.544,1.0,0.057,0.016,818.512,5.801,55.326,18.817,0.813,8.528,0.0,10.252,0.018,0.0,0.021
5,SJA0106000,2018,4.225,0.428,26553800.0,25.857,0.491,0.025,16.544,1.0,0.057,0.016,549.242,5.801,55.326,18.817,0.813,8.528,0.0,10.252,0.018,0.0,0.021
6,SJA0106000,2019,4.625,0.428,26553800.0,25.857,0.491,0.025,16.544,1.0,0.057,0.016,709.315,5.801,55.326,18.817,0.813,8.528,0.0,10.252,0.018,0.0,0.021
7,SJA0106000,2020,5.95,0.428,26553800.0,25.857,0.491,0.025,16.544,1.0,0.057,0.016,752.155,5.801,55.326,18.817,0.813,8.528,0.0,10.252,0.018,0.0,0.021
8,SJA0112000,2017,1.265,0.45,46671675.0,16.933,0.414,0.051,26.083,0.0,0.096,0.029,867.688,3.445,68.204,14.863,2.209,5.186,0.001,9.187,0.024,0.009,0.024
9,SJA0135000,2019,3.9,0.304,440956775.0,32.851,0.496,0.032,22.167,1.0,0.113,0.013,789.183,4.833,48.003,19.146,1.239,12.827,0.0,9.927,0.016,0.005,0.135
10,SJA0135000,2020,5.175,0.304,440956775.0,32.851,0.496,0.032,22.167,1.0,0.113,0.013,837.686,4.833,48.003,19.146,1.239,12.827,0.0,9.927,0.016,0.005,0.135
11,SJA0148000,2020,1.902,0.259,6058147575.0,24.511,0.561,0.041,37.835,0.44,0.113,0.021,840.909,2.551,58.263,17.226,1.117,9.521,0.001,9.825,0.021,0.007,0.086
12,SJA0228000,2017,1.87,0.295,86506875.0,27.287,0.404,0.037,22.929,1.0,0.06,0.037,876.107,3.297,52.259,20.454,1.257,12.29,0.001,9.651,0.05,0.007,0.17
13,SJA0277000,2017,3.85,0.441,287042300.0,29.568,0.45,0.036,9.47,1.0,0.195,0.014,847.407,3.325,45.579,24.853,0.854,10.214,0.001,10.301,0.017,0.003,0.039
14,SJA0301000,2016,3.817,0.281,631515650.0,30.927,0.601,0.03,19.0,0.994,0.059,0.016,851.279,2.837,50.536,18.537,1.136,11.99,0.001,10.055,0.012,0.003,0.056
15,SJA0301000,2017,3.025,0.281,631515650.0,30.927,0.601,0.03,19.0,0.994,0.059,0.016,804.907,2.837,50.536,18.537,1.136,11.99,0.001,10.055,0.012,0.003,0.056
