feature,group
arable_prop,arable
arable_prop_buff_100,arable
arable_prop_buff_1000,arable
arable_prop_buff_500,arable
area,area
awc1_min,awc1
awc1_max,awc1
awc1_mean,awc1
awc1_std,awc1
bd1_min,bd1
bd1_max,bd1
bd1_mean,bd1
bd1_std,bd1
clay1_min,clay1
clay1_max,clay1
clay1_mean,clay1
clay1_std,clay1
dem_min,dem
dem_max,dem
dem_mean,dem
dem_std,dem
flowlength_min,flowlength
flowlength_max,flowlength
flowlength_mean,flowlength
flowlength_std,flowlength
forest_disturb_prop_buff_100,forest_disturb
forest_disturb_prop_buff_1000,forest_disturb
forest_disturb_prop_buff_500,forest_disturb
forest_prop,forest
grassland_prop,grassland
k1_min,k1
k1_max,k1
k1_mean,k1
k1_std,k1
limestone_prop,limestone
livestock_density,livestock_density
manure_dep_n,manure_dep
manure_dep_p,manure_dep
other_prop,other
pol_sen_drain_h_prop,pol_sen
pol_sen_drain_vh_prop,pol_sen
pol_sen_nat_h_prop,pol_sen
pol_sen_nat_vh_prop,pol_sen
precip_mean,precip
rip_veg_drain_prop,rip_veg
rip_veg_nat_prop,rip_veg
rock1_min,rock1
rock1_max,rock1
rock1_mean,rock1
rock1_std,rock1
sand1_min,sand1
sand1_max,sand1
sand1_mean,sand1
sand1_std,sand1
silt1_min,silt1
silt1_max,silt1
silt1_mean,silt1
silt1_std,silt1
slope_min,slope
slope_max,slope
slope_mean,slope
slope_std,slope
snow_depth_mean,snow_depth
soc1_min,soc1
soc1_max,soc1
soc1_mean,soc1
soc1_std,soc1
stream_density,stream_density
temp_max,temp
temp_mean,temp
temp_min,temp
tri_min,tri
tri_max,tri
tri_mean,tri
tri_std,tri
twi_min,twi
twi_max,twi
twi_mean,twi
twi_std,twi
urban_prop,urban
water_prop,water
wetland_prop,wetland
