site_code,obs_year,parameter,obs_value,arable_prop,arable_prop_buff_100,arable_prop_buff_1000,arable_prop_buff_500,area,awc1_min,awc1_max,awc1_mean,awc1_std,bd1_min,bd1_max,bd1_mean,bd1_std,clay1_min,clay1_max,clay1_mean,clay1_std,dem_min,dem_max,dem_mean,dem_std,flowlength_min,flowlength_max,flowlength_mean,flowlength_std,forest_disturb_prop_buff_100,forest_disturb_prop_buff_1000,forest_disturb_prop_buff_500,forest_prop,grassland_prop,k1_min,k1_max,k1_mean,k1_std,limestone_prop,livestock_density,manure_dep_n,manure_dep_p,other_prop,pol_sen_drain_h_prop,pol_sen_drain_vh_prop,pol_sen_nat_h_prop,pol_sen_nat_vh_prop,precip_mean,rip_veg_drain_prop,rip_veg_nat_prop,rock1_min,rock1_max,rock1_mean,rock1_std,sand1_min,sand1_max,sand1_mean,sand1_std,silt1_min,silt1_max,silt1_mean,silt1_std,slope_min,slope_max,slope_mean,slope_std,snow_depth_mean,soc1_min,soc1_max,soc1_mean,soc1_std,stream_density,temp_max,temp_mean,temp_min,tri_min,tri_max,tri_mean,tri_std,twi_min,twi_max,twi_mean,twi_std,urban_prop,water_prop,wetland_prop
SJA0088000,2016,TN,1.138,0.122,0.152,0.15,0.178,704297025.0,0.161,0.207,0.189,0.005,0.373,1.494,1.009,0.308,0.0,70.0,21.031,21.682,3.275,77.745,34.377,17.73,0.0,1085.146,20.33,32.141,0.005,0.006,0.007,0.706,0.035,3.67,645.68,59.083,60.015,0.003,0.08,23.945,10.801,0.025,0.002,0.0,0.004,0.0,830.366,0.538,0.754,0.0,85.0,4.072,13.193,15.0,100.0,65.292,27.635,0.0,50.0,13.677,8.847,0.0,38.162,0.875,1.187,2.739,0.994,34.615,8.971,8.944,0.001,28.455,6.524,-27.879,0.0,2.977,0.085,0.108,2.262,15.093,9.851,1.138,0.012,0.004,0.084
SJA0088000,2017,TN,1.175,0.122,0.152,0.15,0.178,704297025.0,0.161,0.207,0.189,0.005,0.373,1.494,1.009,0.308,0.0,70.0,21.031,21.682,3.275,77.745,34.377,17.73,0.0,1085.146,20.33,32.141,0.009,0.008,0.009,0.706,0.035,3.67,645.68,59.083,60.015,0.003,0.08,25.339,11.524,0.025,0.002,0.0,0.004,0.0,895.066,0.538,0.754,0.0,85.0,4.072,13.193,15.0,100.0,65.292,27.635,0.0,50.0,13.677,8.847,0.0,38.162,0.875,1.187,1.044,0.994,34.615,8.971,8.944,0.001,28.601,6.495,-17.312,0.0,2.977,0.085,0.108,2.262,15.093,9.851,1.138,0.012,0.004,0.084
SJA0106000,2016,TN,5.967,0.428,0.307,0.38,0.368,26553800.0,0.187,0.21,0.198,0.003,0.42,1.447,1.063,0.34,5.0,70.0,25.857,22.999,49.363,69.118,59.749,3.503,0.0,319.576,28.237,33.023,0.003,0.003,0.005,0.491,0.025,3.67,133.21,16.544,23.205,1.0,0.057,23.033,10.887,0.016,0.0,0.0,0.001,0.0,784.874,0.466,0.617,0.0,85.0,5.801,7.077,15.0,90.0,55.326,22.805,3.0,50.0,18.817,7.41,0.001,17.192,0.813,0.829,3.443,1.354,29.598,8.528,9.64,0.0,28.853,6.231,-28.194,0.001,1.517,0.07,0.072,3.415,13.996,10.252,1.046,0.018,0.0,0.021
SJA0106000,2017,TN,4.175,0.428,0.307,0.38,0.368,26553800.0,0.187,0.21,0.198,0.003,0.42,1.447,1.063,0.34,5.0,70.0,25.857,22.999,49.363,69.118,59.749,3.503,0.0,319.576,28.237,33.023,0.015,0.007,0.01,0.491,0.025,3.67,133.21,16.544,23.205,1.0,0.057,9.978,4.057,0.016,0.0,0.0,0.001,0.0,818.512,0.466,0.617,0.0,85.0,5.801,7.077,15.0,90.0,55.326,22.805,3.0,50.0,18.817,7.41,0.001,17.192,0.813,0.829,1.698,1.354,29.598,8.528,9.64,0.0,27.762,6.133,-18.301,0.001,1.517,0.07,0.072,3.415,13.996,10.252,1.046,0.018,0.0,0.021
SJA0106000,2018,TN,4.225,0.428,0.307,0.38,0.368,26553800.0,0.187,0.21,0.198,0.003,0.42,1.447,1.063,0.34,5.0,70.0,25.857,22.999,49.363,69.118,59.749,3.503,0.0,319.576,28.237,33.023,0.021,0.009,0.014,0.491,0.025,3.67,133.21,16.544,23.205,1.0,0.057,21.471,10.182,0.016,0.0,0.0,0.001,0.0,549.242,0.466,0.617,0.0,85.0,5.801,7.077,15.0,90.0,55.326,22.805,3.0,50.0,18.817,7.41,0.001,17.192,0.813,0.829,3.218,1.354,29.598,8.528,9.64,0.0,29.868,7.025,-23.0,0.001,1.517,0.07,0.072,3.415,13.996,10.252,1.046,0.018,0.0,0.021
SJA0106000,2019,TN,4.625,0.428,0.307,0.38,0.368,26553800.0,0.187,0.21,0.198,0.003,0.42,1.447,1.063,0.34,5.0,70.0,25.857,22.999,49.363,69.118,59.749,3.503,0.0,319.576,28.237,33.023,0.0,0.009,0.014,0.491,0.025,3.67,133.21,16.544,23.205,1.0,0.057,21.352,10.086,0.016,0.0,0.0,0.001,0.0,709.315,0.466,0.617,0.0,85.0,5.801,7.077,15.0,90.0,55.326,22.805,3.0,50.0,18.817,7.41,0.001,17.192,0.813,0.829,5.647,1.354,29.598,8.528,9.64,0.0,29.829,7.186,-20.372,0.001,1.517,0.07,0.072,3.415,13.996,10.252,1.046,0.018,0.0,0.021
SJA0106000,2020,TN,5.95,0.428,0.307,0.38,0.368,26553800.0,0.187,0.21,0.198,0.003,0.42,1.447,1.063,0.34,5.0,70.0,25.857,22.999,49.363,69.118,59.749,3.503,0.0,319.576,28.237,33.023,0.003,0.004,0.002,0.491,0.025,3.67,133.21,16.544,23.205,1.0,0.057,21.088,9.967,0.016,0.0,0.0,0.001,0.0,752.155,0.466,0.617,0.0,85.0,5.801,7.077,15.0,90.0,55.326,22.805,3.0,50.0,18.817,7.41,0.001,17.192,0.813,0.829,0.532,1.354,29.598,8.528,9.64,0.0,29.21,8.07,-11.933,0.001,1.517,0.07,0.072,3.415,13.996,10.252,1.046,0.018,0.0,0.021
SJA0112000,2017,TN,1.265,0.45,0.222,0.536,0.506,46671675.0,0.167,0.205,0.188,0.005,0.4,1.492,1.222,0.29,5.0,70.0,16.933,16.511,49.445,128.486,88.575,14.539,0.0,761.765,57.891,63.572,0.0,0.001,0.0,0.414,0.051,4.29,133.21,26.083,16.611,0.0,0.096,22.648,10.345,0.029,0.112,0.006,0.248,0.07,867.688,0.454,0.759,0.0,85.0,3.445,5.216,15.0,90.0,68.204,20.267,3.0,50.0,14.863,7.535,0.0,41.554,2.209,2.408,1.425,1.007,31.536,5.186,7.515,0.001,28.43,6.135,-17.549,0.0,3.528,0.161,0.169,2.453,14.935,9.187,1.603,0.024,0.009,0.024
SJA0135000,2019,TN,3.9,0.304,0.18,0.298,0.258,440956775.0,0.179,0.213,0.198,0.005,0.391,1.488,0.933,0.409,0.0,70.0,32.851,24.652,59.071,126.021,84.898,13.265,0.0,669.315,33.538,43.966,0.008,0.007,0.01,0.496,0.032,3.67,645.68,22.167,42.94,1.0,0.113,28.859,13.611,0.013,0.005,0.0,0.016,0.001,789.183,0.546,0.676,0.0,85.0,4.833,10.296,15.0,100.0,48.003,25.675,0.0,50.0,19.146,6.908,0.0,44.194,1.239,1.859,6.973,1.036,32.453,12.827,11.883,0.0,29.214,6.747,-21.256,0.0,3.635,0.098,0.134,1.998,15.329,9.927,1.507,0.016,0.005,0.135
SJA0135000,2020,TN,5.175,0.304,0.18,0.298,0.258,440956775.0,0.179,0.213,0.198,0.005,0.391,1.488,0.933,0.409,0.0,70.0,32.851,24.652,59.071,126.021,84.898,13.265,0.0,669.315,33.538,43.966,0.003,0.002,0.003,0.496,0.032,3.67,645.68,22.167,42.94,1.0,0.113,28.752,13.55,0.013,0.005,0.0,0.016,0.001,837.686,0.546,0.676,0.0,85.0,4.833,10.296,15.0,100.0,48.003,25.675,0.0,50.0,19.146,6.908,0.0,44.194,1.239,1.859,0.606,1.036,32.453,12.827,11.883,0.0,28.792,7.695,-15.347,0.0,3.635,0.098,0.134,1.998,15.329,9.927,1.507,0.016,0.005,0.135
