feature,abs_mean_shap
arable_prop,0.2800029289833102
rock1_mean,0.21942017581883308
k1_mean,0.21198499364915888
sand1_std,0.1381470541329707
limestone_prop,0.10005067041427175
livestock_density,0.08745215038740645
forest_prop,0.08551168284374461
twi_mean,0.08401884068496236
pol_sen_nat_h_prop,0.08342630271910526
water_prop,0.07192137113466034
rip_veg_drain_prop,0.061759595302403256
wetland_prop,0.05513609538861553
dem_min,0.05200973804050324
precip_mean,0.04799586823928355
urban_prop,0.04073267455719396
forest_disturb_prop_buff_500,0.03572501769933608
manure_dep_p,0.03549674142624273
awc1_min,0.030341369992384532
area,0.03033672964920138
stream_density,0.03000544187696724
awc1_max,0.024282028542016144
soc1_max,0.022399769335608548
slope_max,0.02222120879774842
temp_min,0.021458128892290693
silt1_std,0.02055050962448216
other_prop,0.02019446064832317
awc1_std,0.01984326737815654
temp_max,0.01980678756607706
grassland_prop,0.018246980157158924
bd1_min,0.0170759407519888
snow_depth_mean,0.015074682821766827
clay1_min,0.006318446148725936
silt1_max,0.004688175245601159
tri_min,0.0021032704602017165
slope_min,0.002024670443915599
rock1_max,0.0018320604376498618
flowlength_min,0.0
rock1_min,0.0
